العباسي/البُحتُرِيّ,آذانُهُم وَقرٌ عَنِ الداعي إِلى ال    هَيجاءِ مُصغِيَةٌ إِلى الناقوسِ
العباسي/البُحتُرِيّ,ما إِن يَزالُ عَدُوُّهُم في نِعمَةٍ    مِن مالِهِم وَصَديقُهُم في بوسِ
العباسي/البُحتُرِيّ,أَسيافُهُم خَشَبٌ وَحِلفُ نِسائِهِم    إِمّا صَدَقنَ بِفَيشَةِ القِسّيسِ
الفاطمي/الشريف المرتضى,وَأَطلُبُ ما أَعيا الرّجالَ طِلابُه    فَيا لِلحِجى كَم ذا يَكونُ طِلابي
الفاطمي/الشريف المرتضى,وَبِي ما أَذودُ النّاسَ عن باب علمِهِ    وكلُّ أُساتي جاهلون بما بِي
الفاطمي/الشريف المرتضى,فلِي كَبِدٌ تَصلى بغيرِ خريدةٍ    وَلِي جَسدٌ يبلي بغير كَعابٍ
الفاطمي/الشريف المرتضى,إِذا لَم أُرَغْ عند الغوانِي تغزّلاً    فَمثلُ مشيبي بينهنَّ شَبابي
الحديث/أحمد محرم,إلى ابنِ عُيينةَ انطلَقَ القضاءُ    فما بأبيهِ إذ أودى غَناء
الحديث/أحمد محرم,له من حولِ مَصرعِهِ عُواءُ    إذا شَفَتِ الصَّدَى البِيضُ الظِّماءُ
الحديث/أحمد محرم,وأين دَمُ ابنِ نَضْلَةَ هل يَضِيعُ    ويَبقى بعده الحَدَثُ الفظيعُ
الحديث/أحمد محرم,لَعمرُكَ ما لقاتِلِهِ شَفيعُ    صَريعٌ طاحَ في دَمِهِ صَرِيعُ
الحديث/أحمد محرم,هو المِقْدَادُ إن دُعِيَتْ نَزالِ    تَقَدَّمَ لا يَهابُ ولا يبالي
الحديث/أحمد محرم,وما بأبي قَتَادَةَ في الرجالِ    خَفَاءٌ حين تَشْتَجِرُ العَوالِي
الحديث/أحمد محرم,أصابَ السَّهمُ وَجهاً منه نَضْرا    وأبصرَهُ النبيُّ فقالَ صَبْرا
الحديث/أحمد محرم,وعَالَجَهُ فأخرجَ منه شَرّا    وألقى نَفْثَةً كَرَماً وبِرّا
الحديث/أحمد محرم,تزوَّدَ منه كَنْزاً ليس يَفْنَى    تَزَوَّدَ دَعوةً سعداً ويُمنا
الحديث/أحمد محرم,تزوَّدَ رحمةً وَهُدىً وأمْنا    تَزَوَّدَ ما أحبَّ وما تَمَنَّى
الحديث/جميل صدقي الزهاوي,كل الَّذي هو في الزه    ر ظاهر من رواء
الحديث/جميل صدقي الزهاوي,آت من الشمس فيما    تفيضه من ضياء
الحديث/جميل صدقي الزهاوي,يا شمس أنت ستبقي    نَ بعدما أنا أردى
الحديث/جميل صدقي الزهاوي,وَيجعل القبر يوماً    بيني وبينك سدا
الحديث/جميل صدقي الزهاوي,الشمس في كل وقت    جديرة بالتَباهي
الحديث/جميل صدقي الزهاوي,فإنها أم دنيا    نا وابنة اللاتناهي
الحديث/جميل صدقي الزهاوي,وشى الرَبيع البقيعا    إني أحب الرَبيعا
الحديث/جميل صدقي الزهاوي,أرى العنادل فيه    مغردات جميعا
الحديث/جميل صدقي الزهاوي,وجدتُ للشدو في فص    لِهِ مجالاً وسيعا
الحديث/جميل صدقي الزهاوي,أُلفي البنفسج تحت ال    نسرين ملقىً صريعا
الحديث/جميل صدقي الزهاوي,والأقحوانة سكرى    والياسمين خليعا
الحديث/جميل صدقي الزهاوي,إني إذا ما دَعاني ال    هزار كنت سميعا
الحديث/جميل صدقي الزهاوي,لبيك ها أَنا ذا مُن    شدٌ قريضاً بديعا
الحديث/جميل صدقي الزهاوي,هاج الهزار شجوني    إن الهزار يهيج
الحديث/جميل صدقي الزهاوي,حتى نشجت بشعري    والشعر منه نشيج
الحديث/جميل صدقي الزهاوي,لَقَد سمعت هزاراً    في الروض يدعو هزارا
الحديث/جميل صدقي الزهاوي,تجاوبا فوق غصني    نِ ساعةً ثم طارا
الحديث/جميل صدقي الزهاوي,يا شعر إنك يا شع    رُ صورة من شعوري
الحديث/جميل صدقي الزهاوي,وأنت للناس بالحق    قِ ترجمان ضميري
الحديث/جميل صدقي الزهاوي,يا شعر باللَّه غنِّ    كبلبل فوق غصن
الحديث/جميل صدقي الزهاوي,أظن فيك اقتداراً    جماً فكن عند ظني
الحديث/جميل صدقي الزهاوي,إن لم تقم بحقوق    عني فَما أنت مني
الحديث/جميل صدقي الزهاوي,يا شعر إنك قيثا    رتي ولحنك لحني
الحديث/جميل صدقي الزهاوي,اشرح سروري كما كن    تَ قبل تشرح حزني
الحديث/جميل صدقي الزهاوي,إني لكل رجائي    عليك يا شعر أبني
الحديث/جميل صدقي الزهاوي,أحسنتَ يا شعر أحسن    تَ شادياً إيهِ زدني
الحديث/جميل صدقي الزهاوي,يا عندليب ترنَّم    في الروض يا عندليب
الحديث/جميل صدقي الزهاوي,إذا أطلت سكوتاً    فالروض ليس يطيب
الحديث/جميل صدقي الزهاوي,شدو العنادل شعر    تجيده بالتَغنِّي
الحديث/جميل صدقي الزهاوي,أَرويه للناس عنها    أنا وترويه عنِّي
الحديث/جميل صدقي الزهاوي,أقول للناس شعراً    وَلَيسَ بالشعر كسبي
الحديث/جميل صدقي الزهاوي,إن فاتَني رغد العي    ش اليوم فالشعر حسبي
الحديث/جميل صدقي الزهاوي,ما إن يعبر شعري    عما يجيش بصدري
الحديث/جميل صدقي الزهاوي,ما كل ما في فؤادي    على لسانيَ يجري
الحديث/جميل صدقي الزهاوي,وإنَّ عذري عجزي    فليقبل القوم عذري
الحديث/جميل صدقي الزهاوي,ما كنت آمل أَنَّ ال    أيام تجبر كسري
الحديث/جميل صدقي الزهاوي,وأنها بلقاء ال    أصحاب تشرح صدري
الحديث/جميل صدقي الزهاوي,بين الألى كرَّموني    وقفت أبسط شكري
الحديث/جميل صدقي الزهاوي,فليحيَ ناسٌ كرامٌ    بهم قد ازداد قدري
الحديث/جميل صدقي الزهاوي,لأشكرنَّ سماءً    قد أمطرتني رذاذا
الحديث/جميل صدقي الزهاوي,ما كنت آمل منها    قبل المواسم هَذا
الحديث/جميل صدقي الزهاوي,بكيت من فرح يو    م زال عني الشقاء
الحديث/جميل صدقي الزهاوي,وقد يَكون لعمري    مَع السرور بكاء
الحديث/جميل صدقي الزهاوي,يا برق إنك يا بر    ق عارف بنزوعي
الحديث/جميل صدقي الزهاوي,فلا بتسامك هَذا    علاقة بدموعي
الحديث/جميل صدقي الزهاوي,وقفت بين أناس    مثل الجبال الرواسي
الحديث/جميل صدقي الزهاوي,إن قستهم بجبال    فَما يَمينُ قياسي
الحديث/جميل صدقي الزهاوي,لهم من المجد صرح    بنوه فوق أساس
الحديث/جميل صدقي الزهاوي,جاؤوا جماهير يطلو    ن بالنضار نحاسي
الحديث/جميل صدقي الزهاوي,فأَلبسونيَ عزاً    والعز خير لباس
الحديث/جميل صدقي الزهاوي,بهم رجوت حياة    للعلم بعد اندراس
الحديث/جميل صدقي الزهاوي,وإنّ خير رجاء    ما جاء من بعد ياس
الحديث/جميل صدقي الزهاوي,يا علم أنت سراج    يضيء ليل الحياة
الحديث/جميل صدقي الزهاوي,وأنت يا علم أَنت ال    دليل في الظلمات
الحديث/جميل صدقي الزهاوي,أرى النجوم فأُطري    ضياءَها وأجلُّ
الحديث/جميل صدقي الزهاوي,يا ايُّها القمر المُس    تَنير إنك سعدي
الحديث/جميل صدقي الزهاوي,كَم كنت تطلع قبلي    وَكَم ستطلع بعدي
الحديث/جميل صدقي الزهاوي,يا حبذا الصحب صحباً    طابوا نجاراً وقلبا
الحديث/جميل صدقي الزهاوي,فَلا أَرى بينهم إل    لا مسعفاً أَو محبا
الحديث/جميل صدقي الزهاوي,قد أدرك الشعر في ظل    لهم مراداً وإربا
الحديث/جميل صدقي الزهاوي,لَولا العنايات منهم    به قضى الشعر نحبا
الحديث/جميل صدقي الزهاوي,دعوته ليؤدي    شكر الجميل فَلبى
الحديث/جميل صدقي الزهاوي,يا أَيُّها الشعر إني    أَرى مجالك رحبا
الحديث/جميل صدقي الزهاوي,أركِضْ جوادَك في حم    دِ مكرميك وخِبَّا
الحديث/جميل صدقي الزهاوي,إنَّ الزَمان صفا سر    ر جاء بالطيبات
الحديث/جميل صدقي الزهاوي,هناك ناس أمدُّوا    أولئك المصلحونا
الحديث/جميل صدقي الزهاوي,وآخرون اِستَعدُّوا    أولئك المفلحونا
الحديث/جميل صدقي الزهاوي,ما سر بالنفع قوماً    في الغرب إلا الوفاق
الحديث/جميل صدقي الزهاوي,وما أَضر بقوم    في الشرق إلا الشقاق
الحديث/جميل صدقي الزهاوي,قد علمتنا السماء    أن العداء شقاء
الحديث/جميل صدقي الزهاوي,الناس في الدين شتَّى    وَفي الحقوق سواء
الحديث/جميل صدقي الزهاوي,الدين فيه وفاق    وَلَيسَ فيه عداء
الحديث/جميل صدقي الزهاوي,وَما لشعب تمادى    فيه الخلاف بقاء
الحديث/جميل صدقي الزهاوي,فليحى بين النصارى    وَالمسلمين الإخاء
الحديث/جميل صدقي الزهاوي,كلاهما عرب عن    دما يَكون انتماء
الحديث/جميل صدقي الزهاوي,الشعب يشرب ماء    وَيستضيء بزيت
الحديث/جميل صدقي الزهاوي,يسر بالبذل سعياً    إلى الوفاق الجميعُ
الحديث/جميل صدقي الزهاوي,وَلا يَكون إذا ما    شحَّ السحاب رَبيعُ
الحديث/جميل صدقي الزهاوي,يا مُلك لا تخش يوماً    من هلكة وانقراض
الحديث/جميل صدقي الزهاوي,فانما أَنتَ في ذم    مة السيوف المواضي
الحديث/جميل صدقي الزهاوي,قد حف ليلي الغمامُ    واشتد فيه الظلامُ
الحديث/جميل صدقي الزهاوي,فبت سهران فيه    والناس حولي نيامُ
الحديث/جميل صدقي الزهاوي,إن الرقاد على من    يَشكو سقاماً حرامُ